name_town;group_town;insee_town
Pommiers-Moulons;Sud-Est;17 282
Pons;Sud-Est;17 283
Pont-l'Abbé-d'Arnoult;Nord-Est;17 284
Port-d'Envaux;Nord-Est;17 285
Port-des-Barques;Sud-Ouest;17 484
Portes-en-Ré (Les);Nord-Ouest;17 286
Pouillac;Sud-Est;17 287
Poursay-Garnaud;Nord-Est;17 288
Préguillac;Nord-Est;17 289
Prignac;Nord-Est;17 290
Puilboreau;Nord-Ouest;17 291
Puy-du-Lac;Nord-Est;17 292
Puyravault;Nord-Ouest;17 293
Puyrolland;Nord-Est;17 294
Réaux-sur-Trèfle;Sud-Est;170 295
Rétaud;Nord-Est;17 296
Rioux;Nord-Est;17 298
Rivedoux-Plage;Nord-Ouest;17 297
Rochefort;Sud-Ouest;17 299
Rochelle (La);Nord-Ouest;17 300
Romazières;Nord-Est;17 301
Romegoux;Nord-Est;17 302
Ronde (La);Nord-Ouest;17 303
Rouffiac;Nord-Est;17 304
Rouffignac;Sud-Est;17 305
Royan;Sud-Ouest;17 306
Sablonceaux;Sud-Ouest;17 307
Saint-Agnant;Sud-Ouest;17 308
Saint-Aigulin;Sud-Est;17 309
Saint-André-de-Lidon;Nord-Est;17 310
Saint-Augustin;Sud-Ouest;17 311
Saint-Bonnet-sur-Gironde;Sud-Est;17 312
Saint-Bris-des-Bois;Nord-Est;17 313
Saint-Césaire;Nord-Est;17 314
Saint-Christophe;Nord-Ouest;17 315
Saint-Ciers-Champagne;Sud-Est;17 316
Saint-Ciers-du-Taillon;Sud-Est;17 317
Saint-Clément-des-Baleines;Nord-Ouest;17 318
Saint-Coutant-le-Grand;Sud-Ouest;17 320
Saint-Crépin;Nord-Ouest;17 321
Saint-Cyr-du-Doret;Nord-Ouest;17 322
Saint-Denis-d'Oléron;Sud-Ouest;17 323
Saint-Dizant-du-Bois;Sud-Est;17 324
Saint-Dizant-du-Gua;Sud-Est;17 325
Sainte-Colombe;Sud-Est;17 319
Sainte-Gemme;Nord-Est;17 330
Sainte-Lheurine;Sud-Est;17 355
Sainte-Marie-de-Ré;Nord-Ouest;17 360
Sainte-Même;Nord-Est;17 374
Sainte-Radegonde;Nord-Est;17 389
Sainte-Ramée;Sud-Est;17 390
Saintes;Nord-Est;17 415
Sainte-Soulle;Nord-Ouest;17 407
Saint-Eugène;Sud-Est;17 326
Saint-Félix;Nord-Est;17 327
Saint-Fort-sur-Gironde;Sud-Est;17 328
Saint-Froult;Sud-Ouest;17 329
Saint-Genis-de-Saintonge;Sud-Est;17 331
Saint-Georges-Antignac;Sud-Est;17 332
Saint-Georges-de-Didonne;Sud-Ouest;17 333
Saint-Georges-de-Longuepierre;Nord-Est;17 334
Saint-Georges-des-Agoûts;Sud-Est;17 335
Saint-Georges-des-Coteaux;Nord-Est;17 336
Saint-Georges-d'Oléron;Sud-Ouest;17 337
Saint-Georges-du-Bois;Nord-Ouest;17 338
Saint-Germain-de-Lusignan;Sud-Est;17 339
Saint-Germain-de-Vibrac;Sud-Est;17 341
